"name","confidence","reason"
"001_千岛湖_民宿泳池__S_V003_S019.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"068_千岛湖_餐饮美食_裁剪分割__CV013_S010.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"008_千岛湖_游艇游湖__B_V005_S022_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"001_千岛湖_团队游戏挑战__S_V005_S027.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"005_千岛湖_烧烤__S_V003_S026.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"001_千岛湖_露营吃东西__S_V005_S032.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"023_千岛湖_待人工分类_裁剪分割__CV004_S009.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"028_千岛湖_待人工分类_裁剪分割__CV004_S014.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"029_千岛湖_待人工分类_裁剪分割__CV004_S015.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"037_千岛湖_待人工分类_裁剪分割__CV004_S023.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"013_安吉_安吉风景__S_V010_S006.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"014_安吉_安吉风景__S_V010_S033.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"002_安吉_山路抵达__S_V011_S003.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"003_安吉_山路抵达__S_V011_S004.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"005_安吉_山路抵达__S_V011_S006.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"001_安吉_民宿泳池__S_V010_S027.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"002_安吉_民宿泳池__S_V010_S028.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"013_安吉_漂流__S_V006_S032_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"007_安吉_团队游戏挑战__S_V006_S013_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"010_安吉_团队游戏挑战__S_V006_S016_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"004_安吉_烟花__S_V009_S004.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"002_安吉_口播讲解__S_V011_S007.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"004_安吉_口播讲解__S_V011_S011.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"010_安吉_口播讲解__S_V011_S021.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"002_安吉_店铺截图__S_V011_S026.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
